Day 32 (look below),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Review
Group 1,,Group 2,,Group 3,,Group 4,,Group 5,,Group 6,,Group 7,,Group 8
Take Test 1,,Take Test 2,,Take Test 3,,Take Test 4,,Take Test 5,,Take Test 6,,Take Test 7,,Take Test 8
abound,,adulterate,,abate,,abstain,,aloof,,admonish,,appease,,accentuate
amorphous,,advocate,,abjure,,approbation,,clangor,,aesthetic,,arbitrary,,conjectural
austere,,aggrandize,,anomalous,,cherish,,conventional,,affectation,,archaic,,convivial
belie,,alacrity,,antipathy ,,corroborate,,debunk,,alleviate,,clamorous,,decadent
capricious,,ambivalent,,arcane,,disparate,,diminutive,,analogous,,dearth,,egregious
cerebral,,ameliorate,,arduous,,emulate,,discernible,,bolster,,explicable,,evanescent
congenial,,amenable,,artless,,enervate,,enigmatic,,chauvinistic,,hyperbole,,flamboyant
conspicuous,,anachronistic,,ascetic,,ephemeral,,estranged,,connoisseur,,immutable,,forestall
cursory,,audacious,,assuage ,,fervid,,extravagant,,dissemble ,,indefatigable,,gainsay
daunting,,avaricious,,betray,,garrulous,,fanciful,,dogged,,indolent,,galvanize
deify,,banal,,bucolic ,,incendiary,,frivolous,,dupe,,insular,,indiscriminate
didactic,,benign,,burgeon,,inimical,,heterogeneous,,empirical,,intransigent,,innocuous
disseminate,,brazen,,cacophonous ,,intimate ,,imperious,,engender,,intrepid,,momentary
feasible,,calumny,,canonize,,invigorate,,impertinent,,entitled,,irreverent,,mundane
flout,,candid,,censure,,mitigate,,invasive,,pertinacious,,loathe,,nettlesome
homogeneous,,castigate,,chicanery ,,obsolete,,irresolute,,presumptuous,,malign,,nullify
humdrum,,caustic,,coalesce,,opaque,,laudable,,probity,,malleable,,obviate
insipid,,construe,,cogent,,paradigmatic,,lax,,proliferate,,neophyte,,omnipresent
loquacious,,contrite,,compelling,,pedantic,,marginalize,,specious,,plastic,,oust
misanthropic,,convoluted,,contend,,placid,,panache,,spurious,,platitude,,palpable
misnomer,,covet,,copious ,,polemical,,plodding,,subjective,,prescient,,perfidy
negligent,,craven,,cosmopolitan,,precipitate,,prosaic,,subvert,,pristine,,profuse
obsequious,,decorum,,deference,,profundity,,remedial,,timorous,,reproach,,pugnacious
placate,,deft,,desultory ,,prophetic,,restive,,tortuous,,robust,,sagacious
proclivity,,demur,,diffident,,prudent,,sporadic,,tractable,,salubrious,,sanguine
puerile,,derivative,,dilatory ,,punctilious,,stigmatize,,transient,,sanction,,scant
quixotic,,desiccate,,equivocate,,recondite,,undermine,,ubiquitous,,sedulous,,skullduggery
spendthrift,,diatribe,,polarize,,scrupulous,,utterly,,underscore,,soporific,,trivial
taciturn,,incredulous,,prodigal,,tranquil,,weary,,venal,,stern,,utilitarian
wary,,ingenuous,,verbose,,vacillate,,zealous,,venerate,,tendentious,,vapid
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Review
Group 9,,Group 10,,Group 11,,Group 12,,Group 13,,Group 14,,Group 15,,Group 16
Take Test 9,,Take Test 10,,Take Test 11,,Take Test 12,,Take Test 13,,Take Test 14,,Take Test 15,,Take Test 16
boorish,,acumen,,abhor,,acrimonious ,,affinity,,acquiesce,,alienate,,antedate
brook,,antithesis,,boisterous,,belligerent,,altruistic,,adroit,,apathy,,banish
circumspect,,ascribe,,chivalrous,,beneficent,,baroque,,amend,,apropos,,bridle
comity,,befuddled,,churlish,,canny,,byzantine,,animus,,apt,,comply
commensurate,,eschew,,clandestine,,cavalier,,compromise,,apologist,,cloak,,crestfallen
cordial,,esoteric,,complacent,,distressed ,,conciliatory,,astringent,,consensus,,curtail
deleterious,,evasive,,cumbersome,,dwindling,,countenance,,collaborate,,distort,,elucidate
dichotomy,,exculpate,,debilitating,,eclipse,,covert,,competent,,divergent,,evade
edify,,expedite,,deliberate,,encyclopedic ,,credible,,correlate,,elated,,feckless
elicit,,fastidious,,droll,,exacerbate,,diffuse,,deride,,enchant,,fester
erudite,,feign,,eccentric,,exasperated,,documentary,,dictate,,entrenched,,iconoclastic
fecund,,furtive,,fractious,,fungible,,exhaustive,,discreet,,exotic,,immure
feeble,,hamper,,limpid,,hackneyed,,exhilarating,,divorced,,exploitative,,improvise
felicitous,,indispensable,,mawkish,,incongruous,,extraneous,,elitist,,foreseeable,,inhibit
forbear,,lament,,obeisance,,interchangeable,,fervor,,exacting,,forsake,,inscrutable
haphazard,,myopic,,ostentatious,,laconic,,futile,,flummoxed,,gratify,,lionize
hodgepodge,,nonchalant,,panacea,,lucrative,,illusory,,fruitful,,heed,,monotonous
impede,,partial,,perfunctory,,magisterial,,invidious,,inborn,,judicious,,peculiar
impetuous,,pensive,,perilous,,onerous,,lethargic,,polymath,,lucid,,premeditate
irascible,,portend,,pervasive ,,opprobrium,,metaphorical,,reticent,,pertinent,,profligate
mercenary,,provincial,,preclude,,parsimonious,,mimic,,stringent,,propriety,,reconcile
meticulous,,rudimentary,,predilection ,,peripheral,,numinous,,subservient,,scintillating,,refine
mordant,,salutary,,rapacious,,provocative,,obscure,,surreptitious,,sensational,,relinquish
outstrip,,sever,,relish,,renounce,,overt,,tantalizing,,sophisticated,,ruminate
precarious,,slight,,satirical,,tempestuous,,pellucid,,tantamount,,strife,,skittish
quirky,,somnolent,,sham,,tenable,,perpetuate,,torpor,,understated,,superfluous
repudiate,,stoic,,skirt,,transgression,,rational,,trenchant,,unscrupulous,,synoptic 
tact,,supersede,,sluggish,,urbane,,scathing,,umbrage,,veracity,,thorough
trifling,,tout,,spartan,,verisimilitude,,subtle,,versatile,,virulent,,visionary
turbulent,,wane,,truculent,,vitiate,,superficial,,wayward,,volatile,,vociferous
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Review
Group 17,,Group 18,,Group 19,,Group 20,,Group 21,,Group 22,,Group 23,,Group 24
Take Test 17,,Take Test 18,,Take Test 19,,Take Test 20,,Take Test 21,,Take Test 22,,Take Test 23,,Take Test 24
acclaim,,abet,,acolyte,,abreast,,abject,,arresting,,allusive,,assail
ascertain,,accessible,,anoint,,confound,,amicable,,chastise,,astute,,benevolent
assertive,,acquisitive,,base,,digression,,animosity ,,cumbersome,,commence,,berate
bogus,,amalgamate,,coercion ,,discrepancy,,aver,,economy,,convalescent,,buoyant
cataclysmic ,,attenuate,,coin,,duplicitous,,barrage,,elementary,,curb,,buttress
circumscribe,,augment,,cunning,,expedient,,cathartic,,embellish,,decry,,condone
complementary,,aversion,,discomfit,,fabricate,,decipher,,euphoric,,duress,,contravene
contentious,,blithe,,dissent,,glum,,delusion,,exonerate,,evoke,,denounce
disingenuous,,contempt,,distill,,harbinger,,dispense,,extrapolate,,fawn,,despotic
divulge,,dawdle,,dubious,,intrinsic,,eloquent,,falter,,fret,,deviate
dogmatic,,deflect,,ebullient,,largesse,,enthrall,,fervent,,glib,,disinterested
fallacious,,discount,,facetious,,libertine,,eradicate,,foment,,headstrong,,escalate
foolhardy,,dissident,,fallible,,malfeasance,,fledgling,,gaffe,,intermittent,,exorcise
hinder,,efficacious,,florid,,manifest,,fortitude,,heterodox,,ire,,finicky
impair,,equitable,,gawky,,minute,,fortuitous ,,histrionic,,languid,,foil
impugn,,erratic,,inveigle,,modish,,goad,,implicit,,lull,,intertwined
incessant,,industrious,,jettison,,nascent,,imminent,,inviolate,,mettlesome,,inundate
inclined,,inform,,mendacity,,perennial,,incontrovertible,,liability,,mollify,,ironclad
inveterate,,irksome,,munificent,,pious ,,itinerant,,obstinate,,neutralize,,jeopardize
miserly,,manacle,,naive,,providential,,magnanimous,,painstaking,,nonplussed,,mercurial
patent,,modest,,noble,,prowess,,meritorious ,,phlegmatic,,precipitous,,oblivious
petulant,,noxious,,parochial,,schism,,mutiny ,,prodigious,,pretentious,,perpetrate
pithy,,pernicious,,pedestrian,,slander,,paradoxical,,propensity,,profound,,plaintive
pliant,,predicament,,prevaricate,,stalwart,,perseverance,,qualm,,propagate,,poignant
sanctimonious,,proficient,,prime,,supplicate,,render,,renege,,recourse,,quiescent
sound,,prolix,,radical,,terse,,repertoire,,stinting,,refute,,reiterate
tarnish,,scorn,,recrudescent,,tirade,,resilient,,temper,,regress,,subside
tepid,,subordinate,,temporal,,universal,,resolute,,tentative,,repercussion,,subsume
upbraid,,unseemly,,transitory,,vanquish,,supple,,unprecedented,,replenish,,surmount
vexation,,veritable,,viable,,woeful,,valor,,vivacious,,vigilant,,tangential
,,,,,,,,,,,,,,
Review,,Review,,Review,,Review,,Review,,Review,,Review,,Use Flash Cards
Group 25,,Group 26,,Group 27,,Group 28,,Group 29,,Group 30,,Group 31,,Group 32
Take Test 25,,Take Test 26,,Take Test 27,,Take Test 28,,,,,,,,
adept,,apprehension,,antagonize,,abeyance,,abscond,,aberrant,,abrogate,,abstruse
adverse,,ardent,,barren,,abstract,,apogee,,abide,,aghast,,auxiliary
appropriate,,axiomatic,,bombastic,,affront,,aspersion,,bravado,,apprise,,caricature
archetype,,cease,,cajole,,agitate,,bawdy,,callow,,beguile,,depravity
articulate,,conducive,,chary,,august,,chagrin,,capitulate,,boon,,dilettante
auspicious,,corporeal,,curmudgeon,,burnish,,collude,,cogitate,,callous,,effrontery
bereft,,doctrinaire,,dirge,,coy,,commiserate,,deportment,,coddle,,encroach
captious,,eclectic,,estimable,,deprecate ,,conflagration,,extemporize,,crescendo,,endow
conclusive,,equanimity,,euphemism,,disdain,,contretemps,,factious,,extenuating,,entreat
conspire,,exorbitant,,excoriate,,disperse,,conviction,,fallow,,frenetic,,gregarious
delineate,,fickle,,exigent,,distend,,croon,,feint,,fringe,,indictment
disentangle,,figurative,,haughty,,endemic,,depose,,flagrant,,hapless,,indignant
exhort,,flustered,,heady,,enmity,,detente,,gratuitous,,immaculate,,ineluctable
frailty,,gullible,,imperturbable,,gauche,,dowdy,,grovel,,obfuscate,,inquisitive
grievance,,idiosyncratic,,implacable,,hysterical,,echelon,,indecorous,,ossify,,latitude
harangue,,incidental,,lambaste,,impudent,,ennui,,intrigue,,pastiche,,levity
ploy,,ingrained,,miscreant,,inchoate,,expatiate,,nominal,,perspicacious,,malevolent
poise,,insolent,,peccadillo,,penchant,,fraught,,obdurate,,ponderous,,mediate
pomposity,,lampoon,,philistine,,quandary,,fulcrum,,obstreperous,,recluse,,occlude
proxy,,lavish,,relegate,,quarantine,,imbroglio,,odious,,retaliate,,pacify
relent,,lugubrious,,repugnant,,quash,,jocund,,plucky,,rhapsody,,paragon
rhetoric,,macabre,,sentimental,,quibble,,languish,,precocious,,serendipitous,,patronize
rigor,,morose,,squander,,ravage,,nadir,,remuneration,,shirk,,penurious
sparse,,officious,,swindle,,recant,,nimble,,slovenly,,sinecure,,piquant
steadfast,,ramification,,tangible,,redoubtable,,ominous,,soliloquy,,sinuous,,rampant
suspect,,serene,,turpitude,,retiring,,outlandish,,spurn,,sordid,,remote
tedious,,supplant,,unalloyed,,shrill,,propitious,,stolid,,stanch,,reprobate
vitality,,tacit,,undercut,,sophistry,,prurient,,temerity,,surfeit,,turbid
whimsical,,transcend,,wheedle,,substantiate,,sadistic,,tenuous,,ulterior,,turgid
yield,,treatise,,xenophobic,,wily,,zenith,,verve,,voluble,,vacuous